Unnamed: 0,Order_ID,Order_Date,Product_Name,Units_Sold,Unit_Price,Revenue
0,141234,01/22/19 21:25,iPhone,1.0,700.0,700.0
1,141235,01/28/19 14:15,Lightning Charging Cable,1.0,14.95,14.95
2,141236,01/17/19 13:33,Wired Headphones,2.0,11.99,23.98
3,141237,01/05/19 20:33,27in FHD Monitor,1.0,149.99,149.99
4,141238,01/25/19 11:59,Wired Headphones,1.0,11.99,11.99
5,141239,01/29/19 20:22,AAA Batteries (4-pack),1.0,2.99,2.99
6,141240,01/26/19 12:16,27in 4K Gaming Monitor,1.0,389.99,389.99
7,141241,01/05/19 12:04,USB-C Charging Cable,1.0,11.95,11.95
8,141242,01/01/19 10:30,Bose SoundSport Headphones,1.0,99.99,99.99
9,141243,01/22/19 21:20,Apple Airpods Headphones,1.0,150.0,150.0
10,141244,01/07/19 11:29,Apple Airpods Headphones,1.0,150.0,150.0
11,141245,01/31/19 10:12,Macbook Pro Laptop,1.0,1700.0,1700.0
12,141246,01/09/19 18:57,AAA Batteries (4-pack),3.0,2.99,8.97
13,141247,01/25/19 19:19,27in FHD Monitor,1.0,149.99,149.99
14,141248,01/03/19 21:54,Flatscreen TV,1.0,300.0,300.0
15,141249,01/05/19 17:20,27in FHD Monitor,1.0,149.99,149.99
16,141250,01/10/19 11:20,Vareebadd Phone,1.0,400.0,400.0
17,141251,01/24/19 08:13,Apple Airpods Headphones,1.0,150.0,150.0
18,141252,01/30/19 09:28,USB-C Charging Cable,1.0,11.95,11.95
19,141253,01/17/19 00:09,AA Batteries (4-pack),1.0,3.84,3.84
20,141254,01/08/19 11:51,AAA Batteries (4-pack),1.0,2.99,2.99
21,141255,01/09/19 20:55,USB-C Charging Cable,1.0,11.95,11.95
22,141256,01/29/19 10:40,Google Phone,1.0,600.0,600.0
23,141257,01/12/19 18:51,Apple Airpods Headphones,1.0,150.0,150.0
24,141258,01/19/19 21:47,AA Batteries (4-pack),1.0,3.84,3.84
25,141259,01/20/19 17:26,AAA Batteries (4-pack),2.0,2.99,5.98
26,141260,01/01/19 22:00,AAA Batteries (4-pack),1.0,2.99,2.99
27,141261,01/09/19 18:14,USB-C Charging Cable,1.0,11.95,11.95
28,141262,01/16/19 12:35,AAA Batteries (4-pack),1.0,2.99,2.99
29,141263,01/11/19 23:33,Bose SoundSport Headphones,1.0,99.99,99.99
30,141264,01/03/19 09:46,Apple Airpods Headphones,1.0,150.0,150.0
